uniref,md5
UniRef90_UPI0007E8D427,c62d25eea43df9a7ea478b39b3206dbb
UniRef90_UPI00068D6BF5,22478db9f136e69601230c243234277d
UniRef90_UPI0010A442FC,9c0c8b6504394e79900d6dc4438cca2b
UniRef90_UPI000D1CBE78,b7351e79ae69c832714cb72c2dd814c0
UniRef90_UPI0018F3F88A,3c69c42b02ad94539b96a30f84225537
UniRef90_A0A6L3ZEQ4,41ddad22ed69836756d1aad4cce9e9fe
UniRef90_A0A0G4QHI8,fcc9cf8e00e9b6511094a20b54b638be
UniRef90_A0A2T4PXZ6,3430a25f217274a17ae4f81d2d82deb2
UniRef90_A0A7G7TJP2,5f4ca5097ac9765176661e5eb10a4c2b
UniRef90_UPI0014772613,2bedd0537a4802f4d7c98a680050a543
UniRef90_A0A2N6QHE4,d751b76fc537b87f732b4f3cc6d6c4e2
UniRef90_UPI000CE205B4,127953af34a3c30ab0b1eb0f9841c5e2
UniRef90_V2G151,c82387f6bce7fa7b866ac6a3d1d21c42
UniRef90_UPI001A9781C4,63d91cf6681f0fb22517dc357f2aa677
UniRef90_UPI00115AED4F,0da9c560e3f75ca4a1851503a986f75c
UniRef90_A0A7W2WLC6,b05d22b7d766388d4b1d4ce51122e758
UniRef90_A0A1S3LXZ7,3ee20a8123220294b2a81a476eecb6dd
UniRef90_UPI00193F9445,495db8c119c8c5cb16f928b1f4840ddc
UniRef90_A0A6Y1IPH4,7ce947cf95de1bb840a7c3dbeee7afb0
UniRef90_UPI00189FC90F,5e2fdc7aa14a611677173d03d03ab766
UniRef90_UPI001120B6D8,6585180af43eb7692f3531aab3d6165b
UniRef90_A0A4P8GEN3,d552d0199e7f9c16ae3211712a491ba3
UniRef90_Q9P9U6,250844950bafac9a26827eed22d9661c
UniRef90_W5LZT2,dd8dab032663dfd8070e8b8277abc99c
UniRef90_A0A8B0U8C4,dc70752392abecb3f375cdef03a5dc62
UniRef90_A0A060H2H1,9416e410d9aa7b4580fd5df38693960b
UniRef90_UPI0009C0393D,b982b98d5edca132ba4895e95dc4d045
UniRef90_UPI000877903D,9847fdc677c9d7a9f355c0dddfe9c230
UniRef90_UPI000F881070,38638f8ec77bd10947b0dac4deda35dd
UniRef90_UPI000877A445,2b4951b86f35846db1470fa68d3bcb23
UniRef90_UPI0010572605,d7ae1589381e57343718369cebf1f7b0
UniRef90_UPI000E454D8B,238217ecc1d7088db8dfa0b4c20b013f
UniRef90_UPI0012ED4EF3,90fe834a4c404607df20b8eda9bd6f2c
UniRef90_UPI001886B35B,a2dfa382e395936adceed52db629fda1
UniRef90_UPI0016499D01,3e625ca6b610f50bbd511bfe0fd90235
UniRef90_UPI001B3AD354,c370f5e2ac65f3ca32e51ec1aafe9772
UniRef90_UPI001444B705,061f74c616cef47ed665b35a7660bdec
UniRef90_UPI0002787A10,dd7c6121fe5e4b4e05ab13565418d419
UniRef90_UPI000F5BB972,099d6ff289e8c5942accfc5049665a6a
UniRef90_A0A6I9PC42,7429249aeb9618551899e3c95e4b54a2
UniRef90_A0A6L8L960,19f494ddc233a9ff0e856d8322b6f99e
UniRef90_UPI00146C5B18,c9d64f71bd7fdf36a4779b79975e6844
UniRef90_UPI0018ED9D9F,aff2d70e2affad2c8be864f75a2c836b
UniRef90_A0A2E0AI20,a1efd27553d9c12b943d4516a0ea9ab6
UniRef90_D8MSB1,d8d5120453de73941e6d6019842ade87
UniRef90_UPI00083D7AB8,8ccc1126a0a1998c1a17af88c9989dc0
UniRef90_UPI00164608F2,ccfbc44188929d167745be8c0ae32a5a
UniRef90_UPI0012DCC350,5111a21ad73679ddc822c92296425650
UniRef90_A0A4Y9HSE3,976aafe62e018d2bd3098cfd83b4b5ce
UniRef90_UPI0009097B7E,6408bc288351448d0916f3c0c9e5a997
UniRef90_UPI00090970CE,60e2ee343cade9cde72c45dc99c78a29
UniRef90_A0A381CD03,68f5372a86ac5e62ab6b0efd1d8d8f85
UniRef90_UPI001454D7DF,9adc085b9e3b2165b8a585af304a9ac1
UniRef90_UPI00190CBDFE,02b7f505a1f93354ea1e3ca27635e3ac
UniRef90_A0A7T4X2K6,866f3805ec13cd8338affe325765f170
UniRef90_A0A239RL06,616c7895c5b665c1683a3be14c9ddd76
UniRef90_P24043,16cfb49300a56533a803c1af03256d27
UniRef90_Q4ZHU0,ad1f2c64713e81372144a805a420c261
UniRef90_A0A8B5PC55,1ef9d255e2cf347ce8985341715261a3
UniRef90_Q4ZHU3,3f4cf3d60ff9b3132fb6005b44772f21
UniRef90_UPI00049AFD5E,833009c2bedc2a9b56e27c7c34fc0153
UniRef90_UPI0018D5276C,a8aa4cbcf3d2f5d23380a1e61fe8d403
UniRef90_UPI00070F07BC,b3372dded59acb074f2bf81e5cf8e367
UniRef90_UPI00188B0031,64e00db968098e9242e64355eeea3d1a
UniRef90_A0A1Y3AZE0,80a064ea1fef68e26ec00ff434a490de
UniRef90_UPI00174BD5DA,d2c8227418e8310accf0361f16b3cda2
UniRef90_A0A6L3NP96,0e3f3e667dfabfc40c7b8f9b76aad637
UniRef90_UPI00158EF428,c5488bde1526eeb2bfab1cf055e2e474
UniRef90_UPI00197BFB29,620344ae764aa67b57c7acefaad69363
UniRef90_UPI0005F56FF8,28968baf1de36e9de6b23a3213906327
UniRef90_UPI00075FD3BA,58da3286bd6b4ba4c906ec15d09bdc46
UniRef90_UPI000D09905A,b986f2880a82be52424711a369ce0f2d
UniRef90_UPI0010A2724C,1fc1e73c1e5043478a0a1c728323d5ee
UniRef90_UPI0012AEA456,20141cdcce2a9dca802f9f22684d02f6
UniRef90_UPI001588A41A,bad540b4555ce81786b11f0bc1c76cf3
UniRef90_V8QTQ2,b22fba65ddc692b26396b5d97be55229
UniRef90_A0A4P8K474,0e5c861ea57c64f5a56d94e15437a561
UniRef90_UPI00106F9FB6,79c4a140053e364de67a08b3f075380b
UniRef90_B5Y0C2,1578a1adb63553efecf9f66735a91377
UniRef90_A0A158EZ05,21f61850694b53eba3e98ade3ae22b14
UniRef90_A0A2V2A8F5,e861a4cd4e2ba6a06182326466056c96
UniRef90_UPI0009C3E0B4,5ae6f71a805742282fa6efd30a6857d9
UniRef90_UPI001748DC5E,654f69c05209a6919a560da2be9532ca
UniRef90_A0A809EC87,db6ffcfcf948f37c1eafc2c937f6b76e
UniRef90_A0A2J8PTF2,d4f7184cf7c895a3c7de414b2243f596
UniRef90_A0A810YBK3,3649f48686cfbd22a3c9acb8152b5b39
UniRef90_A0A1I5J777,2e38ca9033ed0db093cb91e750fbcd9a
UniRef90_A0A347WJI9,77570ce7d86e26e6cab91420f57dd8d0
UniRef90_UPI0005F3845E,1e47acdd87847db01f187b1f56bd6262
UniRef90_UPI000760017B,838819a6f173fc8948582e651561b1e4
UniRef90_UPI0010A26026,cffefe37047ade86224cc7df9cf283e4
UniRef90_Z9JET2,bf791af536b17309cc3aabf18a963c1c
UniRef90_G7P369,b0e26bb735642dd1ba9d82e9ebbbb096
UniRef90_UPI0009BD27F2,8131e6f5081748c3c18ab26604e337e3
UniRef90_UPI0005F4044F,06564a04392a933318c8f45544829187
UniRef90_A0A2K5IYF8,2534806fcfcd9b74bdbd06e9472b09f8
UniRef90_A0A7T8IXA9,0e5e24e3abe87e0fa144abb8ce3a703c
UniRef90_UPI0009B29D10,ee75125df4dab2bf3d9b99648d6c151d
UniRef90_A0A5U4CWJ2,13ba2e01d29357bd84fed75fab0a7b6e
UniRef90_A0A2K6BZN8,8bf6fd71c762f6b9565b9df170561bd2
UniRef90_A0A2I3GY19,571784ac77ec638fb4a0772a56080921
UniRef90_A0A2I3HGG1,970f09237811276194ff527a4815439a
UniRef90_A0A2K5P4H9,3a4878082cdc46ec72c1ee9194cc07c0
UniRef90_A0A1G5Q150,db2f8a2c81e20b72bb4f7c82a7019aaa
UniRef90_A0A6G7TIY9,34ace000c318639c4910b27179ae6ab8
UniRef90_A0A2V1HD40,329ad0d28d1d087302f3eabb20a7273c
UniRef90_C7BJ34,98104e405092eee8afee9b24636c9526
UniRef90_A0A8B5P7E4,c57c1cd20e3a2e5403c9e7fe1db3ceda
UniRef90_A0A0B1N6X5,a9385f183d24cb87c6dc3ca868942c2f
UniRef90_A0A6I1IUE5,1887a769e13ced84c9a16b1c0565220d
UniRef90_UPI0007EEB82E,50f457c7c23d6f0b9393966d6fa42663
UniRef90_A0A3L5HE00,f5b33e8ae1e16e4a2c444f05bced6e9f
UniRef90_UPI00038F709A,e607d04232a9b7632c61d1e7d83e1c64
UniRef90_UPI0006CA9218,b7378155f3035ef43a083545adf4f391
UniRef90_UPI00085410E0,2e8cb407ebfe3a890861fde3c4f74e8c
UniRef90_UPI00092DCCCC,0381b6701230a173042ddea2aced71ee
UniRef90_UPI000B7E75B5,96353577cac8a24a328be86e8eb4ea87
UniRef90_UPI000BE2131B,cbbecec000dabac283aa2ee380b93e4b
UniRef90_UPI000CFCB62F,38f9d3d2ab17e316e21a2d1b3388f0bf
UniRef90_UPI000CFD71AF,c155cae0540bf2f973b2e1712bc745b5
UniRef90_UPI000DA56751,2b4fc0891473493b7950c020e909a1bd
UniRef90_UPI0010CC2B25,d6c52c78fda2a5088b9f036fe4f1c70e
UniRef90_UPI0017A8BF12,557923d641f74688dd4234f84a9717c9
UniRef90_A0A839L9J8,9102c0e579fe19fbb9735e211f795459
UniRef90_L4IX00,3c97b9868f76437b51e05b59fe7a5a37
UniRef90_D6ID82,67c3045ce6590d3c548a20ae661c20b4
UniRef90_UPI000542AFA2,3be6c832316663c18b521eccf769bb7b
UniRef90_UPI000BE4B254,a2380d5ec32f2e3d178a90bbc67bb957
UniRef90_UPI0015EF9E5E,222f5a323ed5912cc925f1250e179b8c
UniRef90_UPI00177D5D36,577bb32c8cb5c92a4237f3bfc63e8f17
UniRef90_UPI000BE6F218,6cd9db693360fb18d078fbd9963f6137
UniRef90_UPI00097037F2,2880382830030adaf7e4be6dfb0db9af
UniRef90_D2BZ75,aa56eabdafebbf967fad82853ad70f15
UniRef90_A0A1V0LLY7,f339103a9e962590717ca51c4e06a3bb
UniRef90_UPI001952CB1D,b383feb85c551fd2cf5a6596cf5a7b6c
UniRef90_UPI0019180B00,f20086ed1ed2a178f87db44a41ca7211
UniRef90_UPI001AEC1B08,8bdc9d859432999b24295c104ab34a79
UniRef90_O15791,d4f18ea177b06273979c37835c30b1c4
UniRef90_UPI000D1D7FD0,4b49e30e6a4d656143051e8a00699169
UniRef90_UPI000BB90AFA,5540fe0205cb394947affd8807250651
UniRef90_A0A2V5APW7,50d1261c25cfb007cdb65c21e56ed4d8
UniRef90_A0A7E4S0I6,8e63f9d452a55fb34855db71ca5ca5f5
UniRef90_A0A0S4X0Q2,7e3761a83ee70a3d290c9d2704623b98
UniRef90_UPI0011A403CB,d787564a0684e398fbe106211f814430
UniRef90_O15792,0312056a0331b8d369eda7eb82b3f36c
UniRef90_UPI00129A39F1,1e3b83f3ec2f496454948300ca68c593
UniRef90_J9HDZ3,5c85d33a5a2f38004b9826d271390f77
UniRef90_A0A2N1YWS4,5b3199df669d75e13360a675a5af0e8b
UniRef90_A0A2N0Z9Y4,8d08f6e30b55dd6bf255a4fc1a785eea
UniRef90_UPI001AEBF123,a8b71c16dda4fdc9abd4ccb437e332e7
UniRef90_A0A7T3VYE5,c4adaad4ffb8acca671cdf8f7cc498ae
UniRef90_A0A854CTV4,503ca24f32c44328cb87c28dab3a13ba
UniRef90_A0A2J8X9B9,000f5f2271a266ada140529df6674535
UniRef90_UPI001A982459,8e56743066d22b785acc1b3a4e2e994d
UniRef90_A0A2J8X8Z6,fd53745dd0c244ee7e7a577177282b1c
UniRef90_A0A378Z3N4,1d9ebba7846512e566cf8fb9eea54265
UniRef90_A0A062X6B4,04a50c7b78247aee4bf649952f00077e
UniRef90_A0A2P9D9Q4,697f31595408c3a8d8435dbcafd0a183
UniRef90_A0A239Y809,3dc0252f13dbe2204cda513b565dfdb2
UniRef90_UPI000DAC920D,2c4908d4489e63c41eb52d8fa5e0f941
UniRef90_F8L4J5,effb8117836d0dde7dfd407002505bea
UniRef90_UPI0019D1E79F,4b642ff6656e05b5d41fc740a3c366c6
UniRef90_Q4ZHU1,e44ef92c5369c679a687bd920eddc47e
UniRef90_A0A4S2ELE0,98ecd388e2ff84f87d9661fdb3baee52
UniRef90_A0A0N9RTX0,d270dd9218f119e0fdfebd249d5a7943
UniRef90_UPI000778A9C3,8683b4ce395a8e2f3b5862530c4f3b00
UniRef90_UPI001486B8F5,ef430b2980e45bae8596284876567846
UniRef90_UPI000D1D32A2,b4cd53c3caedc04ab818f84a8da22305
UniRef90_UPI0003688D0D,0933a72635f8acc49aa8f5bdbe39656e
UniRef90_A0A7T7GSJ2,968fd0a2d815375e3d060229f61c5fbd
UniRef90_W7K0W4,e776034ff70e6830395c52b493a43d27
UniRef90_A0A2P9BB39,1e4d9d7b77cb95c9f3a653dcf41150aa
UniRef90_A0A513RKZ4,17effd4f08e965552bff1a813a87ea32
UniRef90_UPI00111C6746,2e6ff289b660387e4020597a2ac21b39
UniRef90_A0A378TW53,7c7c27ec92d8c6a6d039105b3c238759
UniRef90_UPI00069E4835,5e3c86d6eb20309e3d994b5094d828c4
UniRef90_UPI00132BA2F8,e86fd506cc64caf67648e5263091ab88
UniRef90_A0A8B6MGM6,62cc32e06c2e3d0d89c312da62c321eb
UniRef90_A0A2V2T0E2,d774a3ac75e2b6601f9690fb11dc8816
UniRef90_A0A285NIP6,376abf7c03a7561d8371581b0de5c079
UniRef90_A0A6I6EQJ1,7c2014c2ed065852e835907612fc5d84
UniRef90_A0A4U3FBG9,e1430480484b8898c1e82c726686048d
UniRef90_UPI000F45BC1F,25ab128c6d8af3ef8bbcbb2fabd8fd57
UniRef90_A0A4R7GUG1,5471861f4f7be3dc29edcf49278e8e1a
UniRef90_UPI0012B6F57C,141b0b6ddcbee048aa32f67fc4859863
UniRef90_A0A418IRN7,b68370f3af602c0cac3d465ff8c42d55
UniRef90_UPI001067C35B,0bf7f5a3e53a33049d59327d518f9aa5
UniRef90_A0A7T3VZJ2,8e6d4536b467a2e3e3e67678b938c4bb
UniRef90_UPI001AEC6C64,786c255c56cebc2240e2fd93282d86aa
UniRef90_A0A0C4XYE3,769ca837f62badcd6ed01fca7187fd90
UniRef90_UPI00158E9CE4,ccf0c62d0c065bf1abba2cd157a99152
UniRef90_UPI00048C4BA9,164e6ca28dd06e83d3b278244d0b33c8
UniRef90_UPI0018E7524A,0d30776cc8586207194f5388bbe182b7
UniRef90_UPI0015F4D3F5,93cd14854bd61e7e078bde326e612393
UniRef90_A0A024WUX1,1893e01d0f885aa61df54bdcf32bbf28
UniRef90_UPI000B503C04,97ee493c2c09682921f1a0d306c344e1
UniRef90_A0A7J5Z961,19e3a189e6a1ee19749d731635617c39
UniRef90_UPI001AEBD7EE,b9eedbac60371d91bed7b42235d7ac6a
UniRef90_A0A2R4NQL0,aae3811e803407cf4c27625d8bc6e9d7
UniRef90_UPI00053D28B6,03a8a5b08ac0dd62c107edf72a8db77a
UniRef90_W4IJH6,2d3066f89b0b4afe8bec9c4e4b8d5a43
UniRef90_UPI000E694123,bd764e6f32c5731182ce43689eed74d7
UniRef90_UPI0019D32C9C,76997e9303bccb40d469e828b341b3ad
UniRef90_UPI00111DC20C,baccdb4818564f2e35a57abd7ca3bc6c
UniRef90_UPI001560384C,a3898b3eb3d62d9983ba10420fb3d1f9
UniRef90_UPI0013049AEB,13dec27e8abaaaa5e344d91defc526d8
UniRef90_A0A6N7Q710,1b0a925a16ffbe1eb162c483868ef4bb
UniRef90_UPI0011A4426D,c638892cdb8244695fb6a7b7cc08eef6
UniRef90_UPI000319A6F4,5cd42f44c62b528190de2fda8cb19f0e
UniRef90_A0A7S7Z166,a5428a30db0dcfc7ec081f9781afc69e
UniRef90_UPI00118BE849,376dfebae071c80b2fc6a5b5a194f7dd
UniRef90_A0A2T4SDA7,ca48eacdcbf5e74e0444ea147aeb3379
UniRef90_Q8GJ03,d2b50da8474ca7a54e857ed1f0075c2d
UniRef90_A0A1C5W260,c40c4f21c87b8a7ffa14d315ba6ca717
UniRef90_A0A6N6VSZ0,fbc905818df6dc9cec071ba21dc12a96
UniRef90_A0A4R4SMB7,eb4bef84d961a32ddc851acf5a4375a9
UniRef90_A0A4Z0IS80,31b5eb062643297ed591da57b1e93e2c
UniRef90_UPI000700F659,df7ee14c0849e564067d68edcea0230e
UniRef90_A0A378VDD1,dd74860f3adda71f1d7d155892d41532
UniRef90_UPI000A1E11CE,56c8ff8212b41019620a947381928e58
UniRef90_A0A2P1MLM8,827ce9c008fb6ee8844f3ff3df579d51
UniRef90_A0A495JRP3,1f668d8a64f5ba53fbeda2634a54b135
UniRef90_UPI0018F8ACD4,180f08593b9902116cf8f313b41b7648
UniRef90_A0A7G8KCM2,3613ce4972346314e30bcfa822d3c631
UniRef90_A0A317D2M4,61d5881a9b36c01706008d67c66a19f8
UniRef90_A0A1Y2XGV5,7ab2998a48071f5bede3a72ea7da9711
UniRef90_A0A4R3X6H0,f434d26810891baf42d17e3f51d14ac4
UniRef90_Q79LN3,a3816dfa0e225b952089009f7f422ebc
UniRef90_A0A6F9ASA4,bf1e7301ff04f75d955b5918d71d6096
UniRef90_UPI00118B9D5D,548393dd1876bd3c54ef9be8bb473218
UniRef90_A0A3M2KY23,bacebd198131a7db141ecf38c925760d
UniRef90_A0A7K2Y0W5,7caf24105db631fd90d87344399ee08f
UniRef90_A0A8A6R726,c5990b7f7aa9dbfc729d7f7efd641f88
UniRef90_UPI00069A2541,ea9e73689be42850ebd2fe2fcec96834
UniRef90_UPI00068EE738,2b853da1da29a0e58a7afe2634d9ccbf
UniRef90_A0A6G3CIP2,90eac3006ab102f5fa004dd89794206d
UniRef90_UPI0018793CD7,c2b6c4b5caeb9df2de874f4e33cbb3cd
UniRef90_A0A846Z0C1,3ef7b5e6a67b1c76ee4b09736a473852
UniRef90_A0A378QLG1,9af9d3aa06782ba93d79269cef2bf248
UniRef90_A0A269XIZ1,2e919cdd3f686d70592037eebbba7411
UniRef90_UPI000E692A20,b5e6799325cbb630e22cc645db9036c3
UniRef90_A0A4Y9KDI9,ac298195aa26f44b1753c56ae7712c49
UniRef90_UPI0007B3A9C3,18f3b455c7dda7e640c8735c4b240b96
UniRef90_UPI000A0007D9,6a03fd95a5932f1301f1d35faed70b50
UniRef90_UPI0015FE6D67,abaeee5af4362d2a9c8083c8c2d9a535
UniRef90_A0A7K1XCG7,3322b64182e004a4e68ddf308d3a17a3
UniRef90_UPI0005C697D0,322be409a811f7dd92cf0ed68a05d2df
UniRef90_A0A1E9A6R5,e1dcd1ccbcef4e8797be8ea2d5aa21c3
UniRef90_A0A848F175,d9ebc4f351679fbb1f863ef34adb9101
UniRef90_UPI000E67A125,ad73109f1f26be7801f45e096ef4ea32
UniRef90_UPI0012FF21D6,3220aeca5edb9aa7849cd71a82b90994
UniRef90_A0A2J8PTE9,03511ac662a0b67858e603b04db78bca
UniRef90_A0A089QDK0,6f5631419a109fd8adb818e713e6061b
UniRef90_D8JP87,4c6550a977b583d0db15f1dbc88c83fb
UniRef90_UPI000D1C989E,5815bca25dbb2c64405d5cef5548177d
UniRef90_A0A1D4JMG6,8b04611b884e0fbc3e5ea07e3792af96
UniRef90_UPI00092602F1,cf1cd02b674e9c7328f41b19e57e472b
UniRef90_UPI000D1D45EA,20afb97493278884af9f6a64a80baa3b
UniRef90_N8W7M6,e0a03400c8f674f7a86382be5a24195d
UniRef90_UPI00197EC40A,7d5a64fc0459779d234dd8ada8cdc7c7
UniRef90_UPI000D1D834A,e06fde42403efda926908ffc8f56cf79
UniRef90_UPI0010F487FF,a26c8c9c973433ae12163ca75e7c3ba4
UniRef90_A0A2J6P4R0,d0bf2c8712e801f99e1f6c67ad618145
UniRef90_UPI00044D0EC3,76a7f663b3afc942397243e7b6cf0a7e
UniRef90_A0A4P8KL14,7c059e2009165b73e877f07207272fc8
UniRef90_A0A418IHV9,8fb0c9a2007ffc40a4eca0b339814f26
UniRef90_A0A6J0C7V5,b6218a923ddfac8b677bb0fb82a610f6
UniRef90_A0A7C1X096,f8053c4a9d68df49eea40a23c48e9c73
UniRef90_Q9Z4N7,25228a98c326458e0e739708a3a6e269
UniRef90_A0A7X9XMG7,9f2936c7d8bdd857f522ca7ef583d628
UniRef90_A0A4P8GD63,baa1f3b01ce2d3947e6b3e1e0609945f
UniRef90_A0A7R6X4W5,6c1e4bc0ff29ecc2cfdd1a86bd41ce09
UniRef90_A0A1V2SPR8,e5e5341050c792467749427625047e7c
UniRef90_A0A3M3KB79,547903ee46ff7d3eacfa4fd28ccf599a
UniRef90_UPI0004E2BE50,59aad10603209acf7e01dc29ec0d8cdc
UniRef90_A0A370T7W3,384cca8b37466866c8432524344d6f21
UniRef90_UPI0012D3B71D,b57fe26ace6046ae7157db02828ec0cf
UniRef90_A0A7X2RKH4,6eedc7d4f76f1e5440db95df21c6e38d
UniRef90_A0A4Q2IPH5,a3a0d84e77ece105d13f577ea3067dd7
UniRef90_UPI0011AB21BB,ff6d2e5d1256944f3932cf392babc4b5
UniRef90_UPI0003B9D8F3,ac1813d22b7072563284e6e3bb40484b
UniRef90_UPI00156FF9CC,dc405e605a698452a57cf6d86166e034
UniRef90_A0A2C9VYX4,26caddff6d15f0cefeb4f6da068f492f
UniRef90_A0A2C6WPG4,c56d20c5153e0d0d3082744244215c38
UniRef90_UPI0013C2CA92,43fed4b09dbb322bb379b01da0a4de62
UniRef90_UPI000F7DC11F,e44999b725bf9b3dd3ae9b60dfaec18f
UniRef90_A0A1C3HHG4,b5c72558791ee660099bf46f27395fb4
UniRef90_A0A5E8K6J0,e60f6aa36972cadfd5ec150c305ef2fd
UniRef90_A0A016EMB6,cbc300316339e963481a1281b66667cc
UniRef90_Q6VXQ3,23a33484774a6549d618968da192a3c9
UniRef90_UPI000763ECA6,3a14aff9a7bfc1c36cb238a34a6153fc
UniRef90_UPI0015D3B3A1,a147dcb5dca5c6519cbe4c13aed70fd1
UniRef90_UPI0002AF2E7C,5ffdaa4e178854d6f55eb5ddf5058410
UniRef90_A0A2N6SQB9,a17f1535933065a448823db194921630
UniRef90_A0A5C7BG74,d4506db50ba252500f8eb3a38ba9463c
UniRef90_UPI000D1BDBFD,5d58910d51c6f2a7618e7b94396de694
UniRef90_A0A3A0SG97,1bcfdd9a0a87597792720170d63b37af
UniRef90_UPI0006DB28B8,273ebb99928c3f3d1f938f38ef8211cb
UniRef90_UPI0011530642,a1bc870de1977684dca2ecfeeec1ae62
UniRef90_UPI000D1D4E4F,72c00f64acd1ba72f092cb138b700042
UniRef90_UPI0016431B3F,62507a2e784c3536da4a5ec4cd1da93d
UniRef90_Q4ZHU2,2a6e18ce886c602be1da201499b847c3
UniRef90_A0A4S2ECX9,0271c1964affbbb910d1ec23e1486036
UniRef90_A0A3M2QJS3,cf8a78867e32242cb1af005539202014
UniRef90_UPI000946A1CA,ae877dcd017a8ecc0e0f2cdbc2d04368
UniRef90_A0A318NYE6,c8f44bb386b4a0d4b239e3255566be8e
UniRef90_A0A2X5B1Z5,5b6821e0f8e0de7ee474d3318cc4a042
UniRef90_A0A0A3AUA9,f5113f027796087df9a32e855eb12113
UniRef90_A0A2X4V8N5,b28af4ea7b553ffad972ce5200c9bfe2
UniRef90_UPI0013867988,2bfb219037c9fa532ca81493f4c4da06
UniRef90_UPI000D1C9D8B,5d8a4d11532e7a8665a80611c6f5bfd2
UniRef90_UPI000D1CFB65,23d9d6b87bcc6d7c95aa366f9f694b87
UniRef90_UPI000F54B240,103bf84aabebc7a6434fa5f166b16efc
UniRef90_UPI0009ECB253,f163b5681a9800aea73829f197da32b0
UniRef90_UPI000D1A7D20,d01c6e3951917e29664835d08c2bac9d
UniRef90_S4V8B2,a23216cb385adf1436b3819306621d43
UniRef90_UPI000A8A266D,3790d5fc41a0a56b574266a32a74fd9c
UniRef90_UPI001AEC43FB,2932007b7daf0e910b3e4579654799a2
UniRef90_UPI0009BBEFE7,f5bbf26bc818907df26cf3670cfbb874
UniRef90_A0A8B2ZNS2,ff100b80c8ecc42fa7ba18e652abbadf
UniRef90_UPI001AEC253C,53beb8ae132e7333ef29b4f072506394
UniRef90_UPI0009E908F3,90618a868cd156dc8d96ab435c675612
UniRef90_A0A7T9N3H6,f87cbb879585296b74bef4f96428677e
UniRef90_A0A813AD09,d4e607214f9a1c2e7076006621d0897a
UniRef90_A0A3N2ELV0,d0f9692c78d9dba569528f437295b235
UniRef90_UPI0009BA6DD6,f50bbe8302f43af6814406492091c7ab
UniRef90_UPI000763C57A,dcc7c8d58dbe061dce2815a1721b9f39
UniRef90_UPI000BF0382A,8e82d5c200d716084248ceb4bef1d340
UniRef90_UPI000A183D71,c9896883fa617f8088ad31532dcb334f
UniRef90_UPI000A183DB7,224bd440322ba5c7748cc80ba38da9c8
